ano,instituicao,titulo,autor,link
2021,Universidade Federal de Santa Catarina,Gatekeeper como estratégia de ensino-aprendizagem das teorias do jornalismo,"ANDRÉ, Hendryo Anderson",http://www.publicacoes.fatea.br/index.php/ECCOM/article/view/1291/1175
2020,Universidade Federal de Goiás,A cidadania no quadro “O Brasil que eu quero”: análise crítica do discurso sobre telejornalismo e conteúdos colaborativos,"MARTINS, Carlos Henrique ",https://repositorio.bc.ufg.br/tede/handle/tede/10386
2020,Universidade Federal de Santa Maria,"A FUNÇÃO SOCIAL DO RÁDIO LOCAL ENTRE DESERTOS DE NOTÍCIA E ZONAS DE SILÊNCIO: reverberações da migração AM - FM1","MEDEIROS, Rafael ",https://periodicos.ufpb.br/ojs/index.php/ancora/article/download/51319/30851/
2020,Universidade Federal do Sul e Sudeste do Pará; Universidade Federal do Maranhão,A informação sobre a Covid-19 nos desertos de notícias: a relevância do jornalismo interior do Pará,"JAVORSKI, Elaine; BARGAS, Janine",http://revista.ibict.br/liinc/article/view/5339
2020,Universidade Federal do Espírito Santo,A Mudança No Ecossistema Jornalístico E O Deserto De Notícias No Espírito Santo,"BENEZATH, Rita; REIS, Ruth",https://periodicos.ufes.br/poscom/article/view/32168
2020,Universidade Federal da Bahia; Universidade Federal de Uberlândia,A Produção De Sentidos Sobre O Vale Do Jequitinhonha Pela Tv Praça: Um Gesto De Olhar Para A Comunicação Comunitária,"ANDRADE, Ivanise Hilbig de; PEREIRA, Elainy Carmona",https://www.revistas.usp.br/alterjor/article/view/169942/162117
2020,Universidade Estadual Paulista ,Acesso e Consumo de Informação e Práticas Participativas: relações estabelecidas sob as perspectivas das juventudes brasileiras,"CAMARGO, Aline Cristina; MAGNONI, Antonio Francisco",https://books.google.com.br/books?id=68YOEAAAQBAJ&pg=PA161&lpg#v=onepage&q&f=false
2020,Universidade Federal do Ceará,Apontamentos para um perfil dos arranjos alternativos de jornalismo no Ceará,"DA COSTA, Rafael Rodrigues, ARAÚJO, Mayara Carolinne Beserra de, LIMA, Raphaelle Christine Batista de",http://www.periodicoseletronicos.ufma.br/index.php/cambiassu/article/view/13945
2020,Universidade da Beira Interior,Are We Close Enough? Digital Challenges to Local Journalists,"JERÓNIMO, Pedro; CORREIA, João Carlos; GRADIM, Anabela",https://www.tandfonline.com/doi/full/10.1080/17512786.2020.1818607
2020,Universidade Federal do Ceará,Arranjos alternativos de jornalismo no Ceará: relações de comunicação e condições de trabalho,"COSTA, Rafael Rodrigues da; SILVA, Naiana Rodrigues da; ARAÚJO, Mayara Carolinne Beserra de; LIMA, Raphaelle Christine Batista de",http://repositorio.ufc.br/bitstream/riufc/54864/1/2020_capliv_rrccosta.pdf
2020,Universidade Federal do Recôncavo da Bahia,"Bacurau, desertos de notícias e a comunicação popular","GAMA, Danielle Marcia Hachmann de Lacerda da",http://www.seer.ufu.br/index.php/reveducpop/article/view/51627/30305
2020,Universidade Federal do Rio de Janeiro,Desafios na preservação do patrimônio radiofônico no Brasil,"KISCHINHEVSKY, Marcelo; BENZECRY, Lena",https://revistas.ucm.es/index.php/DCIN/article/view/67250/4564456553875
