cidade,cod_municipal,veiculos_mapeados,vei100milh,regiao_metropolitana,uf,estado,regiao,pais,POP,RDPC,I_ESCOLARIDADE,IDHM,IDHM_E,IDHM_L,IDHM_R
FLORIANÓPOLIS,420540,70,16.8,n/d,SC,Santa Catarina,S,Brasil,417579,1798.12,0.8,0.847,0.8,0.873,0.87
BALNEÁRIO CAMBORIÚ,420200,14,13.1,n/d,SC,Santa Catarina,S,Brasil,107149,1625.59,0.763,0.845,0.789,0.894,0.854
BARRETOS,350550,14,12.5,n/d,SP,São Paulo,SE,Brasil,111603,917,0.628,0.789,0.738,0.875,0.762
PALMAS,172100,27,12.0,n/d,TO,Tocantins,N,Brasil,225432,1087.35,0.746,0.788,0.749,0.827,0.789
ITABIRA,313170,12,11.0,n/d,MG,Minas Gerais,SE,Brasil,109507,744.61,0.576,0.756,0.678,0.873,0.729
CRICIÚMA,420460,20,10.5,n/d,SC,Santa Catarina,S,Brasil,190535,1062.53,0.639,0.788,0.737,0.846,0.786
CHAPECÓ,420420,19,10.5,n/d,SC,Santa Catarina,S,Brasil,181705,1017.34,0.63,0.79,0.727,0.871,0.779
SÃO CAETANO DO SUL,354880,14,9.4,RM São Paulo,SP,São Paulo,SE,Brasil,148195,2043.74,0.762,0.862,0.811,0.887,0.891
CACHOEIRINHA,430310,11,9.3,RM Porto Alegre,RS,Rio Grande do Sul,S,Brasil,117991,844.04,0.66,0.757,0.675,0.857,0.749
ARARUAMA,330020,10,9.0,n/d,RJ,Rio de Janeiro,SE,Brasil,111398,680.88,0.556,0.718,0.617,0.839,0.714
PORTO ALEGRE,431490,119,8.5,RM Porto Alegre,RS,Rio Grande do Sul,S,Brasil,1394270,1758.27,0.748,0.805,0.702,0.857,0.867
JARAGUÁ DO SUL,420890,12,8.4,n/d,SC,Santa Catarina,S,Brasil,142186,1111.85,0.687,0.803,0.755,0.865,0.793
ITAJAÍ,420820,15,8.2,n/d,SC,Santa Catarina,S,Brasil,182637,1014,0.646,0.795,0.73,0.884,0.778
PORTO VELHO,110020,34,8.0,n/d,RO,Rondônia,N,Brasil,422555,929.19,0.619,0.736,0.638,0.819,0.764
OURINHOS,353470,8,7.8,n/d,SP,São Paulo,SE,Brasil,102702,868.91,0.601,0.778,0.727,0.859,0.753
