id,cidade,meio,cod_municipal,veiculos_mapeados,regiao_metropolitana,uf,estado,regiao,pais,POP,RDPC,I_ESCOLARIDADE,IDHM,IDHM_E,IDHM_L,IDHM_R
id4995,SÃO PAULO,Jornal,355030,124,RM São Paulo,SP,São Paulo,SE,Brasil,11172609,1516.21,0.677,0.805,0.725,0.855,0.843
id5768,BRASÍLIA,Jornal,530010,79,RIDE DF,DF,Distrito Federal,CO,Brasil,2543802,1715.11,0.723,0.824,0.742,0.873,0.863
id5848,RIO DE JANEIRO,Jornal,330455,56,RM Rio de Janeiro,RJ,Rio de Janeiro,SE,Brasil,6265402,1492.63,0.722,0.799,0.719,0.845,0.84
id5867,PORTO ALEGRE,Jornal,431490,38,RM Porto Alegre,RS,Rio Grande do Sul,S,Brasil,1394270,1758.27,0.748,0.805,0.702,0.857,0.867
id634,GOIÂNIA,Jornal,520870,31,n/d,GO,Goiás,CO,Brasil,1297161,1348.55,0.714,0.799,0.739,0.838,0.824
id5862,FLORIANÓPOLIS,Jornal,420540,30,n/d,SC,Santa Catarina,S,Brasil,417579,1798.12,0.8,0.847,0.8,0.873,0.87
id860,BELO HORIZONTE,Jornal,310620,25,RM Belo Horizonte,MG,Minas Gerais,SE,Brasil,2356435,1497.29,0.702,0.81,0.737,0.856,0.841
id5877,CURITIBA,Jornal,410690,23,RM Curitiba,PR,Paraná,S,Brasil,1740948,1581.04,0.74,0.823,0.768,0.855,0.85
id5826,SANTOS,Jornal,354850,19,n/d,SP,São Paulo,SE,Brasil,416553,1693.65,0.758,0.84,0.807,0.852,0.861
id5797,CUIABÁ,Jornal,510340,18,n/d,MT,Mato Grosso,CO,Brasil,547297,1161.49,0.702,0.785,0.726,0.834,0.8
id5702,CHAPECÓ,Jornal,420420,17,n/d,SC,Santa Catarina,S,Brasil,181705,1017.34,0.63,0.79,0.727,0.871,0.779
id4864,CAMPINAS,Jornal,350950,16,n/d,SP,São Paulo,SE,Brasil,1071983,1390.83,0.677,0.805,0.731,0.86,0.829
id5639,NITERÓI,Jornal,330330,15,RM Rio de Janeiro,RJ,Rio de Janeiro,SE,Brasil,482950,2000.29,0.794,0.837,0.773,0.854,0.887
id5761,SANTO ANDRÉ,Jornal,354780,15,RM São Paulo,SP,São Paulo,SE,Brasil,674948,1304.31,0.707,0.815,0.769,0.861,0.819
id5118,SÃO BERNARDO DO CAMPO,Jornal,354870,15,RM São Paulo,SP,São Paulo,SE,Brasil,761343,1212.65,0.702,0.805,0.752,0.861,0.807
id5799,CAMPO GRANDE,Jornal,500270,14,n/d,MS,Mato Grosso do Sul,CO,Brasil,777917,1089.37,0.667,0.784,0.724,0.844,0.79
id726,SÃO LUÍS,Jornal,211130,13,n/d,MA,Maranhão,NE,Brasil,1005101,805.36,0.735,0.768,0.752,0.813,0.741
id5782,GUARULHOS,Jornal,351880,13,RM São Paulo,SP,São Paulo,SE,Brasil,1213492,829.91,0.639,0.763,0.717,0.831,0.746
id5834,MOGI DAS CRUZES,Jornal,353060,13,RM São Paulo,SP,São Paulo,SE,Brasil,386276,916.81,0.662,0.783,0.74,0.851,0.762
id5705,CRICIÚMA,Jornal,420460,13,n/d,SC,Santa Catarina,S,Brasil,190535,1062.53,0.639,0.788,0.737,0.846,0.786
id5671,RIBEIRÃO PRETO,Jornal,354340,12,n/d,SP,São Paulo,SE,Brasil,599026,1314.04,0.683,0.8,0.739,0.844,0.82
id5887,MANAUS,Jornal,130260,11,n/d,AM,Amazonas,N,Brasil,1793443,790.27,0.679,0.737,0.658,0.826,0.738
id4861,PALMAS,Jornal,172100,11,n/d,TO,Tocantins,N,Brasil,225432,1087.35,0.746,0.788,0.749,0.827,0.789
id5804,FORTALEZA,Jornal,230440,11,RM Fortaleza,CE,Ceará,NE,Brasil,2427422,846.36,0.658,0.754,0.695,0.824,0.749
id5856,VITÓRIA,Jornal,320530,11,n/d,ES,Espírito Santo,SE,Brasil,325399,1866.58,0.789,0.845,0.805,0.855,0.876
id2054,DUQUE DE CAXIAS,Jornal,330170,11,RM Rio de Janeiro,RJ,Rio de Janeiro,SE,Brasil,853747,592.81,0.584,0.711,0.624,0.833,0.692
id5047,BARRETOS,Jornal,350550,11,n/d,SP,São Paulo,SE,Brasil,111603,917,0.628,0.789,0.738,0.875,0.762
id5746,OSASCO,Jornal,353440,11,RM São Paulo,SP,São Paulo,SE,Brasil,665237,1003.4,0.648,0.776,0.718,0.84,0.776
id5382,BLUMENAU,Jornal,420240,11,n/d,SC,Santa Catarina,S,Brasil,306393,1253.17,0.659,0.806,0.722,0.894,0.812
id5711,JOAÇABA,Jornal,420900,11,n/d,SC,Santa Catarina,S,Brasil,26807,1338.5,0.674,0.827,0.771,0.891,0.823
id5450,MAFRA,Jornal,421010,11,n/d,SC,Santa Catarina,S,Brasil,52665,789.53,0.562,0.777,0.723,0.88,0.738
id5508,TUBARÃO,Jornal,421870,11,n/d,SC,Santa Catarina,S,Brasil,96823,1077.62,0.648,0.796,0.74,0.866,0.788
id5198,CAXIAS DO SUL,Jornal,430510,11,n/d,RS,Rio Grande do Sul,S,Brasil,433304,1253.93,0.668,0.782,0.686,0.86,0.812
id575,APARECIDA DE GOIÂNIA,Jornal,520140,11,n/d,GO,Goiás,CO,Brasil,452269,689.3,0.57,0.718,0.62,0.834,0.716
id5891,PORTO VELHO,Jornal,110020,10,n/d,RO,Rondônia,N,Brasil,422555,929.19,0.619,0.736,0.638,0.819,0.764
id4928,BELÉM,Jornal,150140,10,RM Belém,PA,Pará,N,Brasil,1385193,853.82,0.692,0.746,0.673,0.822,0.751
id5816,SALVADOR,Jornal,292740,10,RM Salvador,BA,Bahia,NE,Brasil,2650633,973,0.697,0.759,0.679,0.835,0.772
id2005,ARARUAMA,Jornal,330020,10,n/d,RJ,Rio de Janeiro,SE,Brasil,111398,680.88,0.556,0.718,0.617,0.839,0.714
id5609,SÃO CAETANO DO SUL,Jornal,354880,10,RM São Paulo,SP,São Paulo,SE,Brasil,148195,2043.74,0.762,0.862,0.811,0.887,0.891
id5050,MARINGÁ,Jornal,411520,10,n/d,PR,Paraná,S,Brasil,354512,1202.63,0.691,0.808,0.768,0.852,0.806
id2902,BALNEÁRIO CAMBORIÚ,Jornal,420200,10,n/d,SC,Santa Catarina,S,Brasil,107149,1625.59,0.763,0.845,0.789,0.894,0.854
id5859,ITAJAÍ,Jornal,420820,10,n/d,SC,Santa Catarina,S,Brasil,182637,1014,0.646,0.795,0.73,0.884,0.778
id5858,JOINVILLE,Jornal,420910,10,n/d,SC,Santa Catarina,S,Brasil,512406,1126.74,0.709,0.809,0.749,0.889,0.795
id5722,CANOAS,Jornal,430460,10,RM Porto Alegre,RS,Rio Grande do Sul,S,Brasil,322949,952.13,0.646,0.75,0.636,0.864,0.768
id592,CATALÃO,Jornal,520510,10,n/d,GO,Goiás,CO,Brasil,86253,959.4,0.613,0.766,0.715,0.819,0.769
id916,CONTAGEM,Jornal,311860,9,RM Belo Horizonte,MG,Minas Gerais,SE,Brasil,600466,824.3,0.623,0.756,0.697,0.832,0.745
id967,ITABIRA,Jornal,313170,9,n/d,MG,Minas Gerais,SE,Brasil,109507,744.61,0.576,0.756,0.678,0.873,0.729
id5560,BARUERI,Jornal,350570,9,RM São Paulo,SP,São Paulo,SE,Brasil,240055,1095.84,0.631,0.786,0.708,0.866,0.791
id5833,INDAIATUBA,Jornal,352050,9,n/d,SP,São Paulo,SE,Brasil,201009,1098.31,0.657,0.788,0.738,0.837,0.791
id5830,RIO CLARO,Jornal,354390,9,n/d,SP,São Paulo,SE,Brasil,185172,1049.16,0.671,0.803,0.766,0.862,0.784
id5692,UMUARAMA,Jornal,412810,9,n/d,PR,Paraná,S,Brasil,99898,880.6,0.567,0.761,0.698,0.836,0.755
id5695,ARARANGUÁ,Jornal,420140,9,n/d,SC,Santa Catarina,S,Brasil,60793,827.2,0.565,0.76,0.691,0.853,0.745
id5713,RIO DO SUL,Jornal,421480,9,n/d,SC,Santa Catarina,S,Brasil,60758,1114.31,0.612,0.802,0.727,0.894,0.793
id5491,SÃO JOSÉ,Jornal,421660,9,n/d,SC,Santa Catarina,S,Brasil,208673,1157.43,0.728,0.809,0.752,0.88,0.799
id5721,CACHOEIRINHA,Jornal,430310,9,RM Porto Alegre,RS,Rio Grande do Sul,S,Brasil,117991,844.04,0.66,0.757,0.675,0.857,0.749
id5883,RIO BRANCO,Jornal,120040,8,n/d,AC,Acre,N,Brasil,333052,744.67,0.607,0.727,0.661,0.798,0.729
id5810,RECIFE,Jornal,261160,8,RM Recife,PE,Pernambuco,NE,Brasil,1524313,1144.26,0.664,0.772,0.698,0.825,0.798
id959,IPATINGA,Jornal,313130,8,n/d,MG,Minas Gerais,SE,Brasil,238052,862.91,0.625,0.771,0.705,0.864,0.752
id5652,SETE LAGOAS,Jornal,316720,8,n/d,MG,Minas Gerais,SE,Brasil,213087,809.26,0.59,0.76,0.705,0.84,0.742
id473,NOVA VENÉCIA,Jornal,320390,8,n/d,ES,Espírito Santo,SE,Brasil,45632,592.06,0.473,0.712,0.621,0.841,0.692
id5669,PIRACICABA,Jornal,353870,8,n/d,SP,São Paulo,SE,Brasil,363011,1143.2,0.64,0.785,0.717,0.848,0.797
id5750,TAUBATÉ,Jornal,355410,8,n/d,SP,São Paulo,SE,Brasil,276215,1011.95,0.682,0.8,0.746,0.883,0.778
id5542,CORNÉLIO PROCÓPIO,Jornal,410640,8,n/d,PR,Paraná,S,Brasil,46608,828.19,0.593,0.759,0.692,0.848,0.746
id4951,LONDRINA,Jornal,411370,8,n/d,PR,Paraná,S,Brasil,503548,1083.35,0.649,0.778,0.712,0.837,0.789
id4993,JARAGUÁ DO SUL,Jornal,420890,8,n/d,SC,Santa Catarina,S,Brasil,142186,1111.85,0.687,0.803,0.755,0.865,0.793
