NM_ESTADO;NM_REGIAO;CD_GEOCUF
ACRE;NORTE;"12"
ALAGOAS;NORDESTE;"27"
AMAPÁ;NORTE;"16"
BAHIA;NORDESTE;"29"
CEARÁ;NORDESTE;"23"
DISTRITO FEDERAL;CENTRO-OESTE;"53"
ESPÍRITO SANTO;SUDESTE;"32"
GOIÁS;CENTRO-OESTE;"52"
MARANHÃO;NORDESTE;"21"
MATO GROSSO;CENTRO-OESTE;"51"
MATO GROSSO DO SUL;CENTRO-OESTE;"50"
MINAS GERAIS;SUDESTE;"31"
PARÁ;NORTE;"15"
PARAÍBA;NORDESTE;"25"
PERNAMBUCO;NORDESTE;"26"
PIAUÍ;NORDESTE;"22"
RIO DE JANEIRO;SUDESTE;"33"
RIO GRANDE DO NORTE;NORDESTE;"24"
RIO GRANDE DO SUL;SUL;"43"
RORAIMA;NORTE;"14"
SANTA CATARINA;SUL;"42"
SÃO PAULO;SUDESTE;"35"
SERGIPE;NORDESTE;"28"
TOCANTINS;NORTE;"17"
PARANÁ;SUL;"41"
RONDÔNIA;NORTE;"11"
AMAZONAS;NORTE;"13"
