Codmun6,Codmun7,cidade,regiao_metropolitana,uf,regiao,veiculos_mapeados,vei100milh,pais,POP,IDHM,I_ESCOLARIDADE,IDHM_E,IDHM_L,IDHM_R,RDPC
355030,3550308,SÃO PAULO,RM São Paulo,SP,Sudeste,42,0.4,Brasil,11172609,0.805,0.677,0.725,0.855,0.843,1516.21
310620,3106200,BELO HORIZONTE,RM Belo Horizonte,MG,Sudeste,31,1.3,Brasil,2356435,0.81,0.702,0.737,0.856,0.841,1497.29
150140,1501402,BELÉM,RM Belém,PA,Norte,26,1.9,Brasil,1385193,0.746,0.692,0.673,0.822,0.751,853.82
530010,5300108,BRASÍLIA,RIDE DF,DF,Centro-Oeste,23,0.9,Brasil,2543802,0.824,0.723,0.742,0.873,0.863,1715.11
510340,5103403,CUIABÁ,n/d,MT,Centro-Oeste,22,4.0,Brasil,547297,0.785,0.702,0.726,0.834,0.8,1161.49
410690,4106902,CURITIBA,RM Curitiba,PR,Sul,17,1.0,Brasil,1740948,0.823,0.74,0.768,0.855,0.85,1581.04
211130,2111300,SÃO LUÍS,n/d,MA,Nordeste,16,1.6,Brasil,1005101,0.768,0.735,0.752,0.813,0.741,805.36
130260,1302603,MANAUS,n/d,AM,Norte,15,0.8,Brasil,1793443,0.737,0.679,0.658,0.826,0.738,790.27
431490,4314902,PORTO ALEGRE,RM Porto Alegre,RS,Sul,15,1.1,Brasil,1394270,0.805,0.748,0.702,0.857,0.867,1758.27
330455,3304557,RIO DE JANEIRO,RM Rio de Janeiro,RJ,Sudeste,15,0.2,Brasil,6265402,0.799,0.722,0.719,0.845,0.84,1492.63
520870,5208707,GOIÂNIA,n/d,GO,Centro-Oeste,14,1.1,Brasil,1297161,0.799,0.714,0.739,0.838,0.824,1348.55
230440,2304400,FORTALEZA,RM Fortaleza,CE,Nordeste,12,0.5,Brasil,2427422,0.754,0.658,0.695,0.824,0.749,846.36
140010,1400100,BOA VISTA,n/d,RR,Norte,10,3.6,Brasil,281538,0.752,0.687,0.708,0.816,0.737,786.55
250750,2507507,JOÃO PESSOA,n/d,PB,Nordeste,10,1.4,Brasil,713290,0.763,0.663,0.693,0.832,0.77,964.82
240810,2408102,NATAL,n/d,RN,Nordeste,10,1.3,Brasil,797986,0.763,0.659,0.694,0.835,0.768,950.34
110020,1100205,PORTO VELHO,n/d,RO,Norte,10,2.4,Brasil,422555,0.736,0.619,0.638,0.819,0.764,929.19
261160,2611606,RECIFE,RM Recife,PE,Nordeste,10,0.7,Brasil,1524313,0.772,0.664,0.698,0.825,0.798,1144.26
270430,2704302,MACEIÓ,n/d,AL,Nordeste,9,1.0,Brasil,924611,0.721,0.591,0.635,0.799,0.739,792.54
353440,3534401,OSASCO,RM São Paulo,SP,Sudeste,9,1.4,Brasil,665237,0.776,0.648,0.718,0.84,0.776,1003.4
120040,1200401,RIO BRANCO,n/d,AC,Norte,9,2.7,Brasil,333052,0.727,0.607,0.661,0.798,0.729,744.67
210530,2105302,IMPERATRIZ,n/d,MA,Nordeste,8,3.2,Brasil,246317,0.731,0.617,0.698,0.803,0.697,613.87
150420,1504208,MARABÁ,n/d,PA,Norte,8,3.4,Brasil,232030,0.668,0.508,0.564,0.785,0.673,527.86
