meio,uf,regiao,veiculos_mapeados,vei100milh,pais,POP,IDHM,I_ESCOLARIDADE,IDHM_E,IDHM_L,IDHM_R,RDPC
Rádio,MG,Sudeste,1120,5.75211319542471,Brasil,19471105.0,0.731,0.514,0.638,0.838,0.73,749.69
Televisão,SP,Sudeste,988,2.41304590309379,Brasil,40944103.0,0.783,0.629,0.719,0.845,0.789,1084.46
Televisão,RS,Sul,556,5.2362327339699,Brasil,10618321.0,0.746,0.563,0.642,0.84,0.769,959.24
Televisão,PR,Sul,509,4.90375773317296,Brasil,10379795.0,0.749,0.555,0.668,0.83,0.757,890.89
Televisão,SC,Sul,398,6.40767736346294,Brasil,6211299.0,0.774,0.589,0.697,0.86,0.773,983.9
Televisão,BA,Nordeste,382,2.74168884300587,Brasil,13933018.0,0.66,0.461,0.555,0.783,0.663,496.73
Rádio,GO,Centro-Oeste,274,4.59543254257232,Brasil,5962442.0,0.735,0.55,0.646,0.827,0.742,810.97
Rádio,CE,Nordeste,233,2.77271991090168,Brasil,8403301.0,0.682,0.488,0.615,0.793,0.651,460.63
Rádio,RJ,Sudeste,213,1.33996690344658,Brasil,15895915.0,0.761,0.647,0.675,0.835,0.782,1039.3
Televisão,PA,Norte,193,2.56495891347809,Brasil,7524487.0,0.646,0.474,0.528,0.789,0.646,446.76
Televisão,MT,Centro-Oeste,183,6.0832285389182,Brasil,3008271.0,0.725,0.532,0.635,0.821,0.732,762.52
Televisão,MA,Nordeste,182,2.77986394857068,Brasil,6547083.0,0.639,0.444,0.562,0.757,0.612,360.34
Rádio,MS,Centro-Oeste,168,6.94023876073775,Brasil,2420666.0,0.729,0.536,0.629,0.833,0.74,799.34
Rádio,PE,Nordeste,148,1.69247384327418,Brasil,8744596.0,0.673,0.47,0.574,0.789,0.673,525.64
Televisão,PB,Nordeste,138,3.68518677754984,Brasil,3744722.0,0.658,0.426,0.555,0.783,0.656,474.94
Rádio,ES,Sudeste,123,3.52208159030861,Brasil,3492253.0,0.74,0.552,0.653,0.835,0.743,815.43
Televisão,RN,Nordeste,110,3.49034712771402,Brasil,3151549.0,0.684,0.486,0.597,0.792,0.678,545.42
Rádio,PI,Nordeste,102,3.28740951163598,Brasil,3102747.0,0.646,0.418,0.547,0.777,0.635,416.93
Televisão,AL,Nordeste,90,2.91035429683092,Brasil,3092407.0,0.631,0.406,0.52,0.755,0.641,432.56
Televisão,RO,Norte,81,5.23478664366807,Brasil,1547341.0,0.69,0.48,0.577,0.8,0.712,670.82
Televisão,DF,Centro-Oeste,63,2.47660784919581,Brasil,2543802.0,0.824,0.723,0.742,0.873,0.863,1715.11
Televisão,AM,Norte,56,1.61813045830078,Brasil,3460784.0,0.674,0.549,0.561,0.805,0.677,539.8
Rádio,TO,Norte,48,3.49389986919712,Brasil,1373823.0,0.699,0.526,0.624,0.793,0.69,586.62
Televisão,SE,Nordeste,48,2.33607903734076,Brasil,2054725.0,0.665,0.469,0.56,0.781,0.672,523.53
Televisão,AC,Norte,27,3.70563531058714,Brasil,728620.0,0.663,0.488,0.559,0.777,0.671,522.15
Televisão,RR,Norte,24,5.38139517154318,Brasil,445981.0,0.707,0.587,0.628,0.809,0.695,605.59
Televisão,AP,Norte,23,3.46298446023365,Brasil,664167.0,0.708,0.618,0.629,0.813,0.694,598.98
