OBJECTID,NOMEMUNICP,cod_mun,UF,codmicro,nomemicro,codmeso,nomemeso,hab100k_field_1,hab100k_cidade,hab100k_estado,hab100k_regiao,hab100k_qtd_veiculos,hab100k_populacao,hab100k_ano,hab100k_veiculos_por_100k_hab
1,NORMANDIA,1400407,14,14002,Nordeste de Roraima,1401,Norte de Roraima,,,,,,,,
2,BOA VISTA,1400100,14,14001,Boa Vista,1401,Norte de Roraima,262,Boa Vista,RR,Norte,30,375374,2018,7.992
3,OIAPOQUE,1600501,16,16001,Oiapoque,1601,Norte do Amapá,1303,Oiapoque,AP,Norte,2,26627,2018,7.5112
4,CALCOENE,1600204,16,16001,Oiapoque,1601,Norte do Amapá,352,Calçoene,AP,Norte,1,10926,2018,9.1525
5,ALTO ALEGRE,1400050,14,14001,Boa Vista,1401,Norte de Roraima,,,,,,,,
6,BONFIM,1400159,14,14002,Nordeste de Roraima,1401,Norte de Roraima,280,Bonfim,RR,Norte,2,12257,2018,16.3172
7,MUCAJAI,1400308,14,14003,Caracaraí,1402,Sul de Roraima,,,,,,,,
8,ALMEIRIM,1500503,15,15003,Almeirim,1501,Baixo Amazonas,,,,,,,,
9,ORIXIMINA,1505304,15,15001,Óbidos,1501,Baixo Amazonas,1309,Oriximiná,PA,Norte,3,72160,2018,4.1574
10,LARANJAL DO JARI,1600279,16,16004,Mazagão,1602,Sul do Amapá,1058,Laranjal do Jari,AP,Norte,2,49446,2018,4.0448
11,MACAPA,1600303,16,16003,Macapá,1602,Sul do Amapá,1092,Macapá,AP,Norte,37,493634,2018,7.4954
12,OBIDOS,1505106,15,15001,Óbidos,1501,Baixo Amazonas,1301,Óbidos,PA,Norte,5,51964,2018,9.622
13,SAO GABRIEL DA CACHOEIRA,1303809,13,13001,Rio Negro,1301,Norte Amazonense,1748,São Gabriel da Cachoeira,AM,Norte,1,44816,2018,2.2313
14,BARCELOS,1300409,13,13001,Rio Negro,1301,Norte Amazonense,,,,,,,,
15,AMAPA,1600105,16,16002,Amapá,1601,Norte do Amapá,,,,,,,,
16,CARACARAI,1400209,14,14003,Caracaraí,1402,Sul de Roraima,435,Caracaraí,RR,Norte,1,21564,2018,4.6374
17,TARTARUGALZINHO,1600709,16,16002,Amapá,1601,Norte do Amapá,,,,,,,,
18,SAO JOAO DA BALIZA,1400506,14,14004,Sudeste de Roraima,1402,Sul de Roraima,,,,,,,,
19,ALENQUER,1500404,15,15002,Santarém,1501,Baixo Amazonas,41,Alenquer,PA,Norte,2,56480,2018,3.5411
20,FERREIRA GOMES,1600238,16,16003,Macapá,1602,Sul do Amapá,701,Ferreira Gomes,AP,Norte,1,7591,2018,13.1735
21,SANTA ISABEL DO RIO NEGRO,1303601,13,13001,Rio Negro,1301,Norte Amazonense,,,,,,,,
22,SAO LUIZ,1400605,14,14004,Sudeste de Roraima,1402,Sul de Roraima,,,,,,,,
23,MAZAGAO,1600402,16,16004,Mazagão,1602,Sul do Amapá,,,,,,,,
24,CHAVES,1502509,15,15006,Arari,1502,Marajó,,,,,,,,
25,SANTANA,1600600,16,16003,Macapá,1602,Sul do Amapá,1694,Santana,AP,Norte,1,119610,2018,0.8361
26,MONTE ALEGRE,1504802,15,15002,Santarém,1501,Baixo Amazonas,1201,Monte Alegre,PA,Norte,2,57900,2018,3.4542
27,URUCARA,1304302,13,13010,Parintins,1303,Centro Amazonense,,,,,,,,
28,NHAMUNDA,1303007,13,13010,Parintins,1303,Centro Amazonense,,,,,,,,
29,AFUA,1500305,15,15005,Furos de Breves,1502,Marajó,,,,,,,,
30,JAPURA,1302108,13,13002,Japurá,1301,Norte Amazonense,,,,,,,,
31,PRESIDENTE FIGUEIREDO,1303536,13,13008,Rio Preto da Eva,1303,Centro Amazonense,1535,Presidente Figueiredo,AM,Norte,1,35352,2018,2.8287
32,FARO,1503002,15,15001,Óbidos,1501,Baixo Amazonas,,,,,,,,
33,SOURE,1507904,15,15006,Arari,1502,Marajó,1895,Soure,PA,Norte,3,25181,2018,11.9137
34,ANAJAS,1500701,15,15005,Furos de Breves,1502,Marajó,,,,,,,,
35,SANTA CRUZ DO ARARI,1506401,15,15006,Arari,1502,Marajó,,,,,,,,
36,CACHOEIRA DO ARARI,1502004,15,15006,Arari,1502,Marajó,,,,,,,,
37,GURUPA,1503101,15,15004,Portel,1502,Marajó,,,,,,,,
38,NOVO AIRAO,1303205,13,13001,Rio Negro,1301,Norte Amazonense,,,,,,,,
39,BREVES,1501808,15,15005,Furos de Breves,1502,Marajó,302,Breves,PA,Norte,1,101891,2018,0.9814
40,MARAPANIM,1504406,15,15009,Salgado,1504,Nordeste Paraense,,,,,,,,
41,CURUCA,1502905,15,15009,Salgado,1504,Nordeste Paraense,618,Curuçá,PA,Norte,1,39540,2018,2.5291
42,SAO CAETANO DE ODIVELAS,1507102,15,15009,Salgado,1504,Nordeste Paraense,,,,,,,,
43,MARACANA,1504307,15,15009,Salgado,1504,Nordeste Paraense,1129,Maracanã,PA,Norte,1,29429,2018,3.398
