Codmun6,Codmun7,cidade,regiao_metropolitana,uf,regiao,veiculos_mapeados,vei100milh,pais,POP,IDHM,I_ESCOLARIDADE,IDHM_E,IDHM_L,IDHM_R,RDPC
355030.0,3550308.0,SÃO PAULO,RM São Paulo,SP,Sudeste,698,6.24742170785714,Brasil,11172609.0,0.805,0.677,0.725,0.855,0.843,1516.21
330455.0,3304557.0,RIO DE JANEIRO,RM Rio de Janeiro,RJ,Sudeste,217,3.46346491414278,Brasil,6265402.0,0.799,0.722,0.719,0.845,0.84,1492.63
530010.0,5300108.0,BRASÍLIA,RIDE DF,DF,Centro-Oeste,197,7.7443134331996,Brasil,2543802.0,0.824,0.723,0.742,0.873,0.863,1715.11
431490.0,4314902.0,PORTO ALEGRE,RM Porto Alegre,RS,Sul,119,8.53493225845783,Brasil,1394270.0,0.805,0.748,0.702,0.857,0.867,1758.27
410690.0,4106902.0,CURITIBA,RM Curitiba,PR,Sul,77,4.42287765056739,Brasil,1740948.0,0.823,0.74,0.768,0.855,0.85,1581.04
420540.0,4205407.0,FLORIANÓPOLIS,n/d,SC,Sul,70,16.763295089073,Brasil,417579.0,0.847,0.8,0.8,0.873,0.87,1798.12
520870.0,5208707.0,GOIÂNIA,n/d,GO,Centro-Oeste,65,5.01094312887914,Brasil,1297161.0,0.799,0.714,0.739,0.838,0.824,1348.55
310620.0,3106200.0,BELO HORIZONTE,RM Belo Horizonte,MG,Sudeste,57,2.41890822365141,Brasil,2356435.0,0.81,0.702,0.737,0.856,0.841,1497.29
510340.0,5103403.0,CUIABÁ,n/d,MT,Centro-Oeste,42,7.67407824270917,Brasil,547297.0,0.785,0.702,0.726,0.834,0.8,1161.49
110020.0,1100205.0,PORTO VELHO,n/d,RO,Norte,34,8.04628983209286,Brasil,422555.0,0.736,0.619,0.638,0.819,0.764,929.19
500270.0,5002704.0,CAMPO GRANDE,n/d,MS,Centro-Oeste,33,4.24209780734963,Brasil,777917.0,0.784,0.667,0.724,0.844,0.79,1089.37
350950.0,3509502.0,CAMPINAS,n/d,SP,Sudeste,30,2.79855184270646,Brasil,1071983.0,0.805,0.677,0.731,0.86,0.829,1390.83
354850.0,3548500.0,SANTOS,n/d,SP,Sudeste,30,7.20196469596906,Brasil,416553.0,0.84,0.758,0.807,0.852,0.861,1693.65
130260.0,1302603.0,MANAUS,n/d,AM,Norte,29,1.61700148819896,Brasil,1793443.0,0.737,0.679,0.658,0.826,0.738,790.27
172100.0,1721000.0,PALMAS,n/d,TO,Norte,27,11.9770041520281,Brasil,225432.0,0.788,0.746,0.749,0.827,0.789,1087.35
292740.0,2927408.0,SALVADOR,RM Salvador,BA,Nordeste,27,1.01862460778237,Brasil,2650633.0,0.759,0.697,0.679,0.835,0.772,973.0
250750.0,2507507.0,JOÃO PESSOA,n/d,PB,Nordeste,25,3.50488581082028,Brasil,713290.0,0.763,0.663,0.693,0.832,0.77,964.82
320530.0,3205309.0,VITÓRIA,n/d,ES,Sudeste,23,7.0682454463597,Brasil,325399.0,0.845,0.789,0.805,0.855,0.876,1866.58
354340.0,3543402.0,RIBEIRÃO PRETO,n/d,SP,Sudeste,22,3.6726285670405,Brasil,599026.0,0.8,0.683,0.739,0.844,0.82,1314.04
230440.0,2304400.0,FORTALEZA,RM Fortaleza,CE,Nordeste,21,0.865115336352723,Brasil,2427422.0,0.754,0.658,0.695,0.824,0.749,846.36
353060.0,3530607.0,MOGI DAS CRUZES,RM São Paulo,SP,Sudeste,21,5.43652724994563,Brasil,386276.0,0.783,0.662,0.74,0.851,0.762,916.81
354870.0,3548708.0,SÃO BERNARDO DO CAMPO,RM São Paulo,SP,Sudeste,21,2.75828371706314,Brasil,761343.0,0.805,0.702,0.752,0.861,0.807,1212.65
211130.0,2111300.0,SÃO LUÍS,n/d,MA,Nordeste,21,2.0893422651057,Brasil,1005101.0,0.768,0.735,0.752,0.813,0.741,805.36
221100.0,2211001.0,TERESINA,n/d,PI,Nordeste,21,2.60491609689296,Brasil,806168.0,0.751,0.642,0.707,0.82,0.731,757.57
420460.0,4204608.0,CRICIÚMA,n/d,SC,Sul,20,10.49675912562,Brasil,190535.0,0.788,0.639,0.737,0.846,0.786,1062.53
261160.0,2611606.0,RECIFE,RM Recife,PE,Nordeste,20,1.31206648503293,Brasil,1524313.0,0.772,0.664,0.698,0.825,0.798,1144.26
354780.0,3547809.0,SANTO ANDRÉ,RM São Paulo,SP,Sudeste,20,2.96319123843615,Brasil,674948.0,0.815,0.707,0.769,0.861,0.819,1304.31
150140.0,1501402.0,BELÉM,RM Belém,PA,Norte,19,1.3716500155574,Brasil,1385193.0,0.746,0.692,0.673,0.822,0.751,853.82
