Codmun6,Codmun7,cidade,regiao_metropolitana,uf,regiao,veiculos_mapeados,vei100milh,pais,POP,IDHM,I_ESCOLARIDADE,IDHM_E,IDHM_L,IDHM_R,RDPC
355030,3550308,SÃO PAULO,RM São Paulo,SP,Sudeste,87,0.8,Brasil,11172609,0.805,0.677,0.725,0.855,0.843,1516.21
230440,2304400,FORTALEZA,RM Fortaleza,CE,Nordeste,43,1.8,Brasil,2427422,0.754,0.658,0.695,0.824,0.749,846.36
530010,5300108,BRASÍLIA,RIDE DF,DF,Centro-Oeste,40,1.6,Brasil,2543802,0.824,0.723,0.742,0.873,0.863,1715.11
410690,4106902,CURITIBA,RM Curitiba,PR,Sul,39,2.2,Brasil,1740948,0.823,0.74,0.768,0.855,0.85,1581.04
431490,4314902,PORTO ALEGRE,RM Porto Alegre,RS,Sul,39,2.8,Brasil,1394270,0.805,0.748,0.702,0.857,0.867,1758.27
330455,3304557,RIO DE JANEIRO,RM Rio de Janeiro,RJ,Sudeste,34,0.5,Brasil,6265402,0.799,0.722,0.719,0.845,0.84,1492.63
500270,5002704,CAMPO GRANDE,n/d,MS,Centro-Oeste,32,4.1,Brasil,777917,0.784,0.667,0.724,0.844,0.79,1089.37
310620,3106200,BELO HORIZONTE,RM Belo Horizonte,MG,Sudeste,31,1.3,Brasil,2356435,0.81,0.702,0.737,0.856,0.841,1497.29
520870,5208707,GOIÂNIA,n/d,GO,Centro-Oeste,29,2.2,Brasil,1297161,0.799,0.714,0.739,0.838,0.824,1348.55
292740,2927408,SALVADOR,RM Salvador,BA,Nordeste,27,1.0,Brasil,2650633,0.759,0.697,0.679,0.835,0.772,973
150140,1501402,BELÉM,RM Belém,PA,Norte,24,1.7,Brasil,1385193,0.746,0.692,0.673,0.822,0.751,853.82
510340,5103403,CUIABÁ,n/d,MT,Centro-Oeste,24,4.4,Brasil,547297,0.785,0.702,0.726,0.834,0.8,1161.49
250750,2507507,JOÃO PESSOA,n/d,PB,Nordeste,20,2.8,Brasil,713290,0.763,0.663,0.693,0.832,0.77,964.82
411370,4113700,LONDRINA,n/d,PR,Sul,20,4.0,Brasil,503548,0.778,0.649,0.712,0.837,0.789,1083.35
270430,2704302,MACEIÓ,n/d,AL,Nordeste,18,1.9,Brasil,924611,0.721,0.591,0.635,0.799,0.739,792.54
261160,2611606,RECIFE,RM Recife,PE,Nordeste,18,1.2,Brasil,1524313,0.772,0.664,0.698,0.825,0.798,1144.26
211130,2111300,SÃO LUÍS,n/d,MA,Nordeste,18,1.8,Brasil,1005101,0.768,0.735,0.752,0.813,0.741,805.36
130260,1302603,MANAUS,n/d,AM,Norte,17,0.9,Brasil,1793443,0.737,0.679,0.658,0.826,0.738,790.27
